,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,investors,inventors,sum
79,bostrom16zms8r32vad3z8hl2vc6wrcnanwmxf0dgh25yp,,,67229160818.0,,,,,,,,67229160818.0
80,bostrom152m9xcx0ht7yxr5834ju7qjcyvetw8amd04apw,,26069696989.0,,15467407648.0,25296563469.0,,,,,,66833668106.0
81,bostrom18z9vsjffvggluxcxfqwsmrz02v37hx2e3auyn2,,,57929970902.0,5741693919.0,,,,,,,63671664821.0
82,bostrom1d3zlsrjyl3tzp3aly7vjduhrtrtvkvkeaqpdku,,,63422106566.0,,,,,,,,63422106566.0
83,bostrom1stfw0z5nf2ncxxtrk7zndpf2dla3nh379egwcy,,11914393376.0,,11189940762.0,36938756433.0,1635757102.0,,,,,61678847673.0
84,bostrom18jwk949jqgq3j2du2dgscqxqkkqw5rsjfuucf3,,,61558395847.0,,,,,,,,61558395847.0
85,bostrom13fwhvawke6867s6raqux25fd24t89j5h8wf2v0,,,60883067675.0,,,,,,,,60883067675.0
86,bostrom1lpfs6xv765u4yxr8rlyn5ux0g2a8tyt90hsnas,,,,,,,59256843788.0,,,,59256843788.0
87,bostrom147rnn0rxqkythj4j9ccq0kytmh7f005rn0a3zj,,11199572491.0,,13133148758.0,30186983650.0,792143948.0,,,,,55311848847.0
88,bostrom1njsr8tngxtygsc73mrtn5738ztkzqy7c7y7h3t,,15230667266.0,,17888573509.0,,,14737589328.0,,,,47856830103.0
89,bostrom1smqr5tp684g07aekcn0w852wqlme5mn6dmsny3,,,,,,,47098839942.0,,,,47098839942.0
90,bostrom1dl5df5g2xwj02e93k547etw2ergvc3a20v5ekz,,,46480474242.0,,,,,,,,46480474242.0
91,bostrom1argjwgcplguenq4l92ggn06wadnfrz0ecqrmqs,,20472680990.0,,24506572852.0,,,,,,,44979253842.0
92,bostrom1eqkdzfcjnu20ywju35rf3nutxzjxjaqnxqfyyz,,,,,,,44081312892.0,,,,44081312892.0
93,bostrom1ldjugf3uj2gwkmmsf5japfknf96zv6hw7xw7v4,,102675.0,40841467077.0,2388287319.0,,,,,,,43229857071.0
94,bostrom1waac73cpffx7suhpkvnn8w0a8s2cgzn66x2aka,,,,,,,42415701749.0,,,,42415701749.0
95,bostrom13ume6mqte5h9ngx2hh6ngc8aham7x0k6stuvkm,,,41813199988.0,,,,,,,,41813199988.0
96,bostrom1y9zkl7uqjev899swng4eqfuurwaxpchwppewyc,,,40330418998.0,,,,,,,,40330418998.0
97,bostrom14d92r4svhl4qa3g6q48tjekarw2kt67ngqn4lr,,,,,,,,,40000000000.0,,40000000000.0
98,bostrom19ys53t55r725j882gjcrnf7s449gdrds3h2hu4,,,36908973741.0,,1274549312.0,70470760.0,,,,,38253993813.0
99,bostrom16lf2hvzy4n4gvtx37pgkkdw2e2psfjjdpej53p,,,37988147654.0,,,,,,,,37988147654.0
100,bostrom1fapqgamx3c8za8d3z56sydjtjygyu0ly752j8g,,,,,,,37850807372.0,,,,37850807372.0
101,bostrom1v5jqg6k7mszmchhz8kyfml5h4e2txct9jz3am4,,,37418729590.0,,,,,,,,37418729590.0
102,bostrom1x7wp0u877dkw7m84jv54c9g6zpd5r8t2nm47gn,,,,,,33812731064.0,,,,,33812731064.0
103,bostrom1w4548vrnvc7t9j2ly55nvkjvhwqt9thnfcvuw6,,,,,,,33395512349.0,,,,33395512349.0
104,bostrom133t8m00w7llsslnf05zdhehharntly8dqzpfs8,,,,,,,31992273571.0,,,,31992273571.0
105,bostrom1kgq82m6z2jttytv7fvwy2rklhq5k03gc2h9sej,,,30494554808.0,,,,,,,,30494554808.0
106,bostrom1smtmk8fe3qhlwj3h7nynl6p42946qydzvgj9va,,,,,,,29390986364.0,,,,29390986364.0
107,bostrom1hvk6s053m6qdlz9kwllgldwf4qp2c3mrlh9s2q,,,29370149824.0,,,,,,,,29370149824.0
108,bostrom1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9znwak8m,,19689711316.0,,9472498458.0,,,,,,,29162209774.0
109,bostrom152kqs8p7d3jy6kn4uk87ve3alkuqjgewt3cmvz,,,24799790071.0,4121615983.0,,,,,,,28921406054.0
110,bostrom1gss7y04dky2fykck4dyp0pe39wxawlxm2l0yj2,,,,,,28704261935.0,,,,,28704261935.0
111,bostrom1ch6nukdgj55c9sk4h5t8spzhahuuvn86gqvarm,,,27485323135.0,,,,,,,,27485323135.0
112,bostrom1rqudjcrdwqedffxufmqgsleuguhm7pkaq0alce,,,27363284437.0,,,,,,,,27363284437.0
113,bostrom1qgqkc9t3pfsp6yxjwds70e4r9y0p6resmfnymc,,,26376882296.0,,,,,,,,26376882296.0
114,bostrom12kd8w45rqxuwpwqvpmdyvvdey9ezeqhav4nn85,,,26208333897.0,,,,,,,,26208333897.0
115,bostrom16yf94eecl6h44l5w7zp75skh3rg0k4veavx762,15000000000.0,,,,10185396846.0,,,,,,25185396846.0
116,bostrom1dn09uyhwmv3ratntc7c603vczgrec32c2fylpj,,,24175157388.0,,,,,,,,24175157388.0
117,bostrom1qezgmksavgdvcvf9ckhazfy3jfw8whhzfrvtlz,,,21979059507.0,,,,,,,,21979059507.0
118,bostrom1d552nfgekkugdgxw3zl242qpxapl67jfkz76tp,,,21555502893.0,,,,,,,,21555502893.0
119,bostrom1cerh237zd5rdexptjw8ryhwdf2tc9eupz7sfn0,,,,,,20918517127.0,,,,,20918517127.0
120,bostrom10vpygn9ftv85ra7j7qpewuq5jdgvpjmehlds0g,,,20335729382.0,,,,,,,,20335729382.0
121,bostrom18t3kx877vyvstcvn50cgn5w6hppe8ce0pq72m2,,,18546327724.0,,,,,,,,18546327724.0
122,bostrom1csf3up94qheqz88fvvlwjl7vc5sdymarktrvpw,,,,,,,18442151620.0,,,,18442151620.0
123,bostrom1kfqv2fzzu6dgwnf6snql2jslwdws07fl2gz37u,,,17879700159.0,,,,,,,,17879700159.0
124,bostrom1ggayl03vvv763az6eez66jzwuunyqkcusk8fwj,,,17754934798.0,,,,,,,,17754934798.0
125,bostrom1fjeq0urgk4x0s6pl2p2fes8c95426amp7lv4dv,,,17601345097.0,,,,,,,,17601345097.0
126,bostrom1tr3eyy9l480pxjk0ygudwpfus7j8pgdljn09jm,,,,,,,17537519175.0,,,,17537519175.0
127,bostrom16ahkkv0jzhtp73z83qlhqrypss6jpjm8eekpwv,,,,,,,17375703563.0,,,,17375703563.0
128,bostrom1jgh7ghrcr47tuahawzvg3svv2hxkxfx5u9lzr2,,,17333444802.0,,,,,,,,17333444802.0
129,bostrom1htq7u8gy9muv4fk6st04524tdzy8rv04528gys,,,,,,,16744189104.0,,,,16744189104.0
130,bostrom1kk9clwd4eva7ww95gn4rw3xzuwfs0983sl5cwt,,,,,,,16191669541.0,,,,16191669541.0
131,bostrom1s2a7rckcky6jmhncxwy0xtwf2ymg87puk6jpzz,,,,,2752947960.0,2774105228.0,9246030793.0,218362161.0,,,14991446142.0
132,bostrom1fz799u9jc0umceng3nkjt0njxy6y3550uq06jn,,,,,,14973655085.0,,,,,14973655085.0
133,bostrom1mnfalar08dsvtwutmh43lnhx2zzmq7xhdulemj,,6402703804.0,,8540100989.0,,,,,,,14942804793.0
134,bostrom1k7cl9ya9qq30c7m4rvg3823hrc8k80eetqvhj8,,,,,,,14797976623.0,,,,14797976623.0
135,bostrom16d69u47km5vqdvf6fr8qyhktlacgka7fdvazr8,,,,,,,14751375909.0,,,,14751375909.0
136,bostrom19y467lyhqlpa52y6snq9cxw47xhwq0th3p05r0,,,14256149914.0,,,,,,,,14256149914.0
137,bostrom16ge9uqpqf78jdt0uz58ycalhtg59w77qm9t7d2,,,14222312706.0,,,,,,,,14222312706.0
138,bostrom1lljcf37yxh24l3v4kwqsyghwz4ywlg6urg4kte,,,11645695552.0,1970857840.0,,,,,,,13616553392.0
139,bostrom1463la66ac89tmlwgvx20c4d2jv84ekzs8kzh87,,,13368713572.0,,,,,,,,13368713572.0
140,bostrom1wzqyjejz5px38vgqsegafrcexl3963q9dsgqh9,,,,,,13098969682.0,,,,,13098969682.0
141,bostrom164k2s2s2td6a30d3rvnv93scy3v29psw4j3ndm,,,12701785716.0,,,,,,,,12701785716.0
142,bostrom16h7tyj5p69t3r7qasunf938cx2elp38fhqc7zr,,2062295417.0,,10620434968.0,,,,,,,12682730385.0
143,bostrom1cjyv02cja896rr5y5lks79enk2nretn3mqyc69,,2147705260.0,1417622893.0,8731817017.0,175176885.0,,,,,,12472322055.0
144,bostrom1rya5547x4lrwc2npd63s89ny2dvhamv9dfx9x9,,,12090950492.0,,,,,,,,12090950492.0
145,bostrom18wn5kyxewwk6qh97493xtj9gufpmqserfahc37,,,12063356572.0,,,,,,,,12063356572.0
146,bostrom1kf0d64nuwsf2zeul5wkx78fsznplnlpsfh7fqw,,,,,,,11673069511.0,,,,11673069511.0
147,bostrom1402rpwdquxxkgvl740f6w69l65eau5vkqcvrax,,7159491819.0,,3246938813.0,,,,949629027.0,,,11356059659.0
148,bostrom1evz2xfd6sam0kzz5qc5lje4s90vcgyyrzz47pm,,,,,,11323309556.0,,,,,11323309556.0
149,bostrom1zeg2k7kd8qadmwd3kslwmag3erq7hqxt5aajjz,,5135290206.0,,6162279773.0,,,,,,,11297569979.0
150,bostrom1d7n8znqg635yxnzlsycnt6kut8z5du5yftutrf,,,10958899451.0,,,,,,,,10958899451.0
151,bostrom1mzmzlzk4xpm6zy68c43e6hen98w07yhfedumgg,,,,,,10780033350.0,,,,,10780033350.0
152,bostrom1wt9h9wm3zf7yzsy68x7v8p973w02kw8yyurh55,,2760107758.0,,7777346692.0,,,,,,,10537454450.0
153,bostrom143x4d5wx50204zyreqg8ekgq3n3fcaxucacztp,,,,,,,,9826875134.0,,,9826875134.0
154,bostrom16pdckvu70ufzvm8avd9anga6k35nu7axym02wp,,,9792986284.0,,,,,,,,9792986284.0
155,bostrom1udal5nr3lz7mg7j7k79se4rz0tsjj8lur45q99,,,,,2666930610.0,7057738490.0,,,,,9724669100.0
156,bostrom1ucl2c39dpwqm9pp6cvmlazn2tkwavszhs27j96,,2575695017.0,,7109962804.0,5891599.0,,,,,,9691549420.0
157,bostrom1y83nga220nfjt9zz0mmqc90cd705az95n5cfwj,,,,,,,,9608859331.0,,,9608859331.0
158,bostrom18ghjkwygsvjcsh20tc5zzhfttxxuex7a9lq8ps,,,,,,,9561458741.0,,,,9561458741.0
159,bostrom18txzlmkqf264a2awhey6lmeq0dtv5ex69d2fcy,,,9333557553.0,,,,,,,,9333557553.0
160,bostrom1mnqlcc7mslzxcf798acp80u2fxudsuzdn0px6s,,5378290695.0,,3666902099.0,,,,,,,9045192794.0
161,bostrom1pswgrf5ap0kld3lpun5z4x08wh7nmgamd8mgex,,3282151788.0,,5358993270.0,,,,,,,8641145058.0
162,bostrom1nvr4qa7szsd3e7xfysn946gcqv5wyemlcxmxpw,,5133236390.0,,3297924061.0,,,,,,,8431160451.0
163,bostrom1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3kktuh6,,4104967246.0,,3851891784.0,,,,,,,7956859030.0
164,bostrom1nywu6z26tpcrr2kcqe8z7t235wrfkhfcfhlzmk,,4106198982.0,,3137937218.0,,,,,,,7244136200.0
165,bostrom1mmtt0cnsgwx3t90vs4tn9k08kw8xn4v3pggfu7,,,6701991111.0,,,,,,,,6701991111.0
166,bostrom1mryr27k3h8kqr5ahj82v0ym2xexdewfc9rmng8,,,6310270182.0,,,,,,,,6310270182.0
167,bostrom1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvk89kwa,,53188072.0,,6083030821.0,,,,,,,6136218893.0
168,bostrom1gg73t0eyrkqf953waqxh6uqah62p46jyg82ulr,,,5787292447.0,,,,,,,,5787292447.0
169,bostrom184dur4s6pldvhvcyputu6yshsm09s6wmvylt8k,,,,,,5728639830.0,,,,,5728639830.0
170,bostrom19vgwu99fdawejnedgsfx8dmxuc0z4emjf7a044,,,,5014404214.0,,,,,,,5014404214.0
171,bostrom1gxyf6tsjamnavmkfk43mwfzwscn4tgfkz8k85n,5000000000.0,,,,,,,,,,5000000000.0
172,bostrom1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y05hzhh8,,,,4273801138.0,,,,,,,4273801138.0
173,bostrom1jx0az02ccnt4mgj2r9vhvycsdjsztrrgdkwzr3,,,4220671315.0,,,,,,,,4220671315.0
174,bostrom1nuc82t22xgp09rs2tdnlxxgm95pjg5matjwwye,,5497646.0,,3567926892.0,,,,,,,3573424538.0
175,bostrom1r90j4656xsug2hkj57a3knqcs9huh3ea88ykhp,,,3475567070.0,,,,,,,,3475567070.0
176,bostrom1zl0t5703q42qx7drxsgl9thjwlul5x6unjhwgn,,,2742969308.0,,,,,,,,2742969308.0
177,bostrom15gk8edxtvvp372flljk884fav55y8ehwru4u8w,,,,,,,2279889403.0,,,,2279889403.0
178,bostrom1hyjhy0tp6geral2g9vj9nyteglf8t5q42gfq3j,,,,,3927733.0,,,2184963106.0,,,2188890839.0
179,bostrom1d8mq46wt2yxsgwrmh6hhfgycl0537w8gggn47f,,,,,,,,2182283065.0,,,2182283065.0
180,bostrom1jz57cgfr248y9w6sn76l7pugjkr6e7zh6y2grp,,,,,,,2178739020.0,,,,2178739020.0
181,bostrom13q0m4hw6pmajqdqn4g464vzmst78sf55ktrp05,,,2064986311.0,,,,,,,,2064986311.0
182,bostrom1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwxgd445,,,,,26708583.0,,,1992130580.0,,,2018839163.0
183,bostrom1hmrxmc27fu4ggdpvpxqtahn6uvtj38vuu77a02,,10268322.0,,1844228437.0,,,,,,,1854496759.0
184,bostrom1gw5kdey7fs9wdh05w66s0h4s24tjdvtc9v6vpe,,,,,43597835.0,,1755881840.0,,,,1799479675.0
185,bostrom1kajt7sxfpnfujm7ptj90654lmwz4sftpc9mp9a,,,,,,,1743792737.0,,,,1743792737.0
186,bostrom1y6huw3naar38u4rtgqmlh9smfu93gszst9tawp,,,,1688512495.0,,,,,,,1688512495.0
187,bostrom15kdrahda8qcyfa9xe8kt2f737m22x2sleslj5l,,3552879.0,,1628053769.0,,,,,,,1631606648.0
188,bostrom1uwfk6h06w8vnhmyp48vwcpgwncsec8yv3z0xyg,,8204799.0,,1494510816.0,,,,,,,1502715615.0
189,bostrom16qu2ymnzzjn05xc6yszjy50caaahcahdvmex5e,,,1362390306.0,,,,,,,,1362390306.0
190,bostrom1hqeqy4s039q0qcpayqcyaq5hyyvmph97t79m9n,,,,1190379955.0,,,,,,,1190379955.0
191,bostrom1mj0sj4eaar5qnjn3l05ep5wgq3l6agtvvqwvyk,,,,,226237413.0,951997050.0,,,,,1178234463.0
192,bostrom1t575qeee3qgshuf964qal057z77vljqef9tlck,,,,,,,1099995800.0,,,,1099995800.0
193,bostrom1n55zyf6wlvh8jp4wxqgx4ta283jx0e2n2tutgm,,,,,984682627.0,114773762.0,,,,,1099456389.0
194,bostrom1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxfdqtd7c,,,,,119010306.0,,,972470487.0,,,1091480793.0
195,bostrom105zy26ze9gean4qukqlvhkv4mtcndc9t2xaydz,,,,,,,1006206924.0,,,,1006206924.0
196,bostrom1duc9gthaeg82lx9pdf642g043xqhgxgxmfvwsz,,,,,1178320.0,,,993141688.0,,,994320008.0
197,bostrom14h099ukgvp4fm9qs0xnmljzhevrmneq6m6cltv,,,,978084362.0,,,,,,,978084362.0
198,bostrom1xpl2sx64ra5san4su0r0hj8z9eh5cf5dcv48qa,,,,,,,,970654649.0,,,970654649.0
199,bostrom1hem3076xmat8ttr0cg0nnn2lghtc2p7xtzpj8s,,,,,,,,951329198.0,,,951329198.0
200,bostrom1xhk0s2ynz2sq3ak3lr4u5gg0da4vyaxkfjhg7l,,,,924447759.0,,,,,,,924447759.0
201,bostrom1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehf2r8dr6,,154956147.0,,716488373.0,,,,,,,871444520.0
202,bostrom1a30w6j4m6g3s2c6zt02z56xynnuaqmn3ahwxuq,,,,,,,774688373.0,,,,774688373.0
203,bostrom1pmaltcu0x97x8j5klc8xluaapkzcvztcn2vkmw,,,,,2356640.0,,734384390.0,,,,736741030.0
204,bostrom1sm9sq4wnn62tk5yz0x3fvvx2ea9efguqwvdu64,,,,,128044091.0,594091324.0,,,,,722135415.0
