,subject,multisigs,pre_bostrom_heroes,comm_pool,cyberd_bot_sergey,delegation,euler-4,inventors,investors,lifetime,load,port,relevance,sergeandmyself_rewards,takeoff,posthuman_rewards,sum
95,bostrom1ldjugf3uj2gwkmmsf5japfknf96zv6hw7xw7v4,,,,,102675.0,40841467077.0,,,2388287319.0,,,,,,,43229857071.0
96,bostrom1waac73cpffx7suhpkvnn8w0a8s2cgzn66x2aka,,,,,,,,,,,,,,42415701749.0,,42415701749.0
97,bostrom13ume6mqte5h9ngx2hh6ngc8aham7x0k6stuvkm,,,,,,41813199988.0,,,,,,,,,,41813199988.0
98,bostrom1y9zkl7uqjev899swng4eqfuurwaxpchwppewyc,,,,,,40330418998.0,,,,,,,,,,40330418998.0
99,bostrom14d92r4svhl4qa3g6q48tjekarw2kt67ngqn4lr,,,,,,,,40000000000.0,,,,,,,,40000000000.0
100,bostrom19ys53t55r725j882gjcrnf7s449gdrds3h2hu4,,,,,,36908973741.0,,,,1274549312.0,,70470760.0,,,,38253993813.0
101,bostrom16lf2hvzy4n4gvtx37pgkkdw2e2psfjjdpej53p,,,,,,37988147654.0,,,,,,,,,,37988147654.0
102,bostrom1fapqgamx3c8za8d3z56sydjtjygyu0ly752j8g,,,,,,,,,,,,,,37850807372.0,,37850807372.0
103,bostrom1v5jqg6k7mszmchhz8kyfml5h4e2txct9jz3am4,,,,,,37418729590.0,,,,,,,,,,37418729590.0
104,bostrom1x7wp0u877dkw7m84jv54c9g6zpd5r8t2nm47gn,,,,,,,,,,,,33812731064.0,,,,33812731064.0
105,bostrom1w4548vrnvc7t9j2ly55nvkjvhwqt9thnfcvuw6,,,,,,,,,,,,,,33395512349.0,,33395512349.0
106,bostrom1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9znwak8m,,3477642735.0,,,19689711316.0,,,,9472498458.0,,,,,,,32639852509.0
107,bostrom133t8m00w7llsslnf05zdhehharntly8dqzpfs8,,,,,,,,,,,,,,31992273571.0,,31992273571.0
108,bostrom1kgq82m6z2jttytv7fvwy2rklhq5k03gc2h9sej,,,,,,30494554808.0,,,,,,,,,,30494554808.0
109,bostrom1smtmk8fe3qhlwj3h7nynl6p42946qydzvgj9va,,,,,,,,,,,,,,29390986364.0,,29390986364.0
110,bostrom1hvk6s053m6qdlz9kwllgldwf4qp2c3mrlh9s2q,,,,,,29370149824.0,,,,,,,,,,29370149824.0
111,bostrom152kqs8p7d3jy6kn4uk87ve3alkuqjgewt3cmvz,,,,,,24799790071.0,,,4121615983.0,,,,,,,28921406054.0
112,bostrom1gss7y04dky2fykck4dyp0pe39wxawlxm2l0yj2,,,,,,,,,,,,28704261935.0,,,,28704261935.0
113,bostrom1ch6nukdgj55c9sk4h5t8spzhahuuvn86gqvarm,,,,,,27485323135.0,,,,,,,,,,27485323135.0
114,bostrom1rqudjcrdwqedffxufmqgsleuguhm7pkaq0alce,,,,,,27363284437.0,,,,,,,,,,27363284437.0
115,bostrom1qgqkc9t3pfsp6yxjwds70e4r9y0p6resmfnymc,,,,,,26376882296.0,,,,,,,,,,26376882296.0
116,bostrom12kd8w45rqxuwpwqvpmdyvvdey9ezeqhav4nn85,,,,,,26208333897.0,,,,,,,,,,26208333897.0
117,bostrom16yf94eecl6h44l5w7zp75skh3rg0k4veavx762,,,15000000000.0,,,,,,,10185396846.0,,,,,,25185396846.0
118,bostrom1dn09uyhwmv3ratntc7c603vczgrec32c2fylpj,,,,,,24175157388.0,,,,,,,,,,24175157388.0
119,bostrom1qezgmksavgdvcvf9ckhazfy3jfw8whhzfrvtlz,,,,,,21979059507.0,,,,,,,,,,21979059507.0
120,bostrom1d552nfgekkugdgxw3zl242qpxapl67jfkz76tp,,,,,,21555502893.0,,,,,,,,,,21555502893.0
121,bostrom1cerh237zd5rdexptjw8ryhwdf2tc9eupz7sfn0,,,,,,,,,,,,20918517127.0,,,,20918517127.0
122,bostrom10vpygn9ftv85ra7j7qpewuq5jdgvpjmehlds0g,,,,,,20335729382.0,,,,,,,,,,20335729382.0
123,bostrom1teuan269feyw4ax94jfp4pcgrhqnn28gxxz8mw,,,,,,,,,,1178320.0,,,20000000000.0,,200000000.0,20201178320.0
124,bostrom1d9en5u0cfaucavx848qeq4k6ywqd3z5d5a778h,,,,,,,,,,,,,20000000000.0,,,20000000000.0
125,bostrom1gcy4f6f2sc73aegd9r68rt2q6teekl6swjva3p,,,,,,,,,,,,,20000000000.0,,,20000000000.0
126,bostrom1edwwsevuywe3sx82sustvyx3f3cvjt44ugccgy,,,,,,,,,,,,,20000000000.0,,,20000000000.0
127,bostrom1z8fyzv3mjfccvrxhckr2u3lnc0hrgrlm4zkf8c,,,,,,,,,,,,,20000000000.0,,,20000000000.0
128,bostrom1tcnlvf6qhlc3x7ax2vk3vzhxhf8wy8xrnjl72d,,,,,,,,,,,,,20000000000.0,,,20000000000.0
