,subject,reward
153,cyber1svwchckmrrkfl7py7l2fz3esla7lwmalm4xl5h,1624000
180,cyber1wr0mqeyea45u9av63srtvgr553nyg6l99vdz47,1460000
70,cyber1e20dl8se4v2ev79qcay3ag7uf5t98gam96ukz6,1460000
9,cyber12c8kh7aaz2gg0l4nkd73t58nhurdarensvwstq,1384000
82,cyber1ftyx5guwf39fz4nc5n5nc9fua36cq3448rekzv,1260000
98,cyber1j5wpswepyxva5vupvg05pq6jzqh7ttdvae9vkv,1189000
6,cyber123wttw3lu62m7lcg23rkwr88cvv8apjmgw0fj5,1189000
105,cyber1jz57cgfr248y9w6sn76l7pugjkr6e7zh7uen5u,1160000
108,cyber1ke9xxd3d6y0ttduac062zvv3r0jtakvhj5nr9l,1160000
85,cyber1gffprg0nuvj9ve39s9rjhjp04u7k8xwahjce75,1160000
22,cyber15ak23s0usm36hv2e4kajhe0yx592hw473eznpa,1160000
120,cyber1njpfrygstn6r5awzp77keyhkl3wfhzmvf6e6t4,1160000
137,cyber1pzyt3y68zcnvl7hkvuffqfedccaptf6n0j4unq,1160000
136,cyber1pzxnpyvxr6x9z64y6w3ctv0cvcx9sp90a0p7dj,1160000
134,cyber1pvu65ccqw3fmgq88j2j485wc6qm96nx7nxvgz5,1160000
191,cyber1yq5h0gjxuup83hdz53utukwhkkz684mk484907,1160000
196,cyber1z3u9w3vyq6sw7ndxcdpjkgvlj0qaqm6s9qzfvu,1160000
178,cyber1wh5gfxyz8x95qyjlc2s24h3czr60vfeh2nx73q,1160000
51,cyber19rfaqnnz5fy3qct8qxzany94t2p7h0rrux8yvl,1159000
26,cyber15y8g5ggq2lslncdnlcscqygyesefmjy00dtxwv,1129000
91,cyber1h9k38zr5a532jzl0hsker9qz785m822zlca7fg,1108000
205,cyber1zy3nxgwtw9hr99tzfaxasgwklm9ev843d2074z,1100000
62,cyber1d66wegxpllcsnrzv9saqugpk2dausa837cvm2l,1099000
171,cyber1vmfs06hv80gc8jcpzu93ld4494azendxd9vva4,1099000
24,cyber15njl9exppdfms5fg4zz9wafn4a95lfj3t3car6,1084000
104,cyber1jsdfjw0pjjj5thg7z2tpm30njusrlsag09t95d,1069000
168,cyber1v2fzs3a8mvm4nhsfcpk85gt3d8rdacv6xsmyj7,1069000
195,cyber1z33aen2znsmgy7wwzavwh2q0u7cu4e9xnwh2fc,1069000
28,cyber16gtt4cmrvg2us2rgecym9zt65zet7qq2ay3h65,1069000
148,cyber1rzr7gnkm3kdqmzqya7ky98m8tnnmtet5r42xmj,1069000
80,cyber1fm842pq6zxaqs86fm30xv459gx7hm7f0c30fml,1069000
4,cyber10r2sn7sasanc0tuw5wzupxvlpht5uv26602cdh,1064500
44,cyber185y3kgv3e6t4sue0a55jyq88hv76th3u8ttxz9,1060000
47,cyber18fudz7p6ah9yvdr4p9aflp8pgzngx84car8y5q,1060000
177,cyber1wdk6rndatlj8dpxq799vmu50zft7xk577l2fa3,1060000
135,cyber1pzp9nadejsjzfkpfl9k7ktu2cfhprw4r6clkru,1060000
74,cyber1epcd5upewwa7s20u6kgf9uywa2f7c3yj76wzlj,1060000
88,cyber1gtma98yjsx43zc30j99t7t0tmdjt2gypppdnc7,1060000
183,cyber1xc6jdlqd8gd9e6p73xdc2yw7ad3tnl8w62x48z,1060000
65,cyber1damlfdlp8yynjvrmv6pd3t33f4currrhadtqzl,1060000
34,cyber176q2gvutyk63dzknylcvdhp6lyjwu5w9d4gqw3,1060000
167,cyber1uz3xp4au0rxawmct6ffj0u3le7uglyza3fw6k9,1060000
92,cyber1h9zrqgwcjtul3s9qxf0hk0ym9alm44ztqk9jn0,1060000
166,cyber1uym8hd4pum4zz2mpkf93y8435u725k97ajt2su,1060000
163,cyber1u8yt9tvnwvvvlm36w97nyg27ue797hrvj6fztm,1060000
162,cyber1u4427txgc9pulkuu0wk4v9cjxqa0dxees937fh,1060000
68,cyber1e08w7wrjn05gl06xkwnlfmud5f6trdkrdh7clf,1060000
61,cyber1cmhrs08sqv0823mj057svp8jerp6avne77gs59,1060000
159,cyber1tx6dnqh0nnj05uuell7rhnwhennscehlh2hy33,1060000
149,cyber1s05hsv6fxhkpclwxzgnlfjjk7qdm78nm9qyfc6,1060000
150,cyber1s4ytylknecgkp7sp3jgf2f5lj7mm2xxzt3kcgv,1060000
72,cyber1e8dsx8yx9mjn8v8egz2n5vafkymqw98wqd3p5y,1058500
13,cyber130avjyegx7glgnqvraetqj6ztacrqv9kfkw4p0,1039000
15,cyber13nef2p2g48kmj83m7f0ey76q6p9cdyrntf4wul,1039000
185,cyber1xvsukg4tltfzduw0lsvgqyrhe6rzrlp46jvgjh,1039000
0,cyber104rtaftr9xmx6dcakempk590tfxx4ytdfctfjr,1039000
176,cyber1w7f07762zelhx4spzkndmygh2dz58g3nhv5hfa,1039000
41,cyber17vw0qcu9j8t6jhh83sjrzj07nwg9nndfuea7lj,1039000
124,cyber1p4uyyk8sc2arl4n9egw3xrn9g7rpkzle83xgg9,1039000
46,cyber189tpr8vg4qvwn7fgs6szkqr25yrammvvm64547,1039000
128,cyber1pfwja2fu2qcqvdws6rcdr9y6za46dklazq5272,1039000
21,cyber15a8z9l8ufw8v8zdddfhesnmfzwwhua7azmgj3z,1039000
107,cyber1kae5k3nnzs3q7tar4ec3w29w4avd8saqc2jfpf,1039000
42,cyber1808q4nv5qafkk8ec9h56wwth6sl5a5ydtpvhw8,1039000
36,cyber17kwvcuvar02ldacltr48373rm74z8lfkuc55m0,1039000
109,cyber1kfz37afuxfyajrzk7xv6937xc0jsq4zdtq296l,1039000
93,cyber1hjjsjgv7sx88mxfq9y44ql24xs76jj3w6ukj76,1039000
75,cyber1evnwfeuqsgkjwe5qwe5acyy6m4w5ch03lf2928,1039000
146,cyber1r7grd2sazgzsy8y0c8wlsnjyhdc0sq4n9muhza,1039000
29,cyber16gxdwa79rsvkjaawpcpswthgahm56p4m9y5jwc,1039000
154,cyber1t5r4uhu0tscqw380t6hqmvrgyhlrj3u445rqzv,1039000
165,cyber1undz2328av9agfhaguqs8zxzejv5zqccpsskv3,1039000
114,cyber1m9x4gg6frezyeqldxdz4dvegxpcytxna9shdep,1039000
79,cyber1f6tmyjffs0p7f6xeh25esjhawxu2kll9khuxzr,1034500
43,cyber185tek8r0ptelug0erducctzc4d83q5np4fz7pf,1030000
1,cyber105c5jk0xwzlk4pexgaeqkxq0xadtqchc38gzm8,1030000
194,cyber1z0m5tcv4jde5acv0w4dms537wvntgj7x3x3qwp,1030000
102,cyber1jlu5u2sj0afddmcj7lxfy0ng466s8l2qf233z3,1010000
101,cyber1jgvy2vr96auye3er6n3tkhlu9hnxs6h3ef5cku,1009000
144,cyber1qsm0ujra4vdwymc5vrtey2rvalyq8392nx8g5g,1009000
188,cyber1y9tvvunr7uaqjjw8u6xn5muypq6pheyzsshnvv,1009000
