,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
49,cyber1my32szlwazg9x56xqvsvtp0hqvpzm0r4cf9w2y,,,70179119586.0,92845309.0,,70271964895.0
50,cyber1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9q0e5p8t,,4338666110.0,50221478847.0,14835497059.0,,69395642016.0
51,cyber1daxxqs56f6j5qxxtjrjkexghsmnaj66ta2rv06,,45885621564.0,,23275608448.0,,69161230012.0
52,cyber1g0ap9fvex93yzzj69uzl74942vjvq8e4dl4sn7,,,67992083477.0,,,67992083477.0
53,cyber16zms8r32vad3z8hl2vc6wrcnanwmxf0dv0e0nu,,,67229160818.0,,,67229160818.0
54,cyber18z9vsjffvggluxcxfqwsmrz02v37hx2e490lyh,,,57929970902.0,5741693919.0,,63671664821.0
55,cyber1d3zlsrjyl3tzp3aly7vjduhrtrtvkvkeecjkpp,,,63422106566.0,,,63422106566.0
56,cyber18naxcfp2s397a2ucav2m53f003uylk3qxa6h5r,,15259397818.0,19980209562.0,26399274499.0,,61638881879.0
57,cyber18jwk949jqgq3j2du2dgscqxqkkqw5rsjdy0r7v,,,61558395847.0,,,61558395847.0
58,cyber13fwhvawke6867s6raqux25fd24t89j5hrk63mj,,,60883067675.0,,,60883067675.0
59,cyber1lpfs6xv765u4yxr8rlyn5ux0g2a8tyt9t0rg2d,,,,,59256843788.0,59256843788.0
60,cyber1njsr8tngxtygsc73mrtn5738ztkzqy7c6udvxk,,15230667266.0,,17888573509.0,14737589328.0,47856830103.0
61,cyber1smqr5tp684g07aekcn0w852wqlme5mn6frrgnv,,,,,47098839942.0,47098839942.0
62,cyber1dl5df5g2xwj02e93k547etw2ergvc3a2t58zpl,,,46480474242.0,,,46480474242.0
63,cyber1argjwgcplguenq4l92ggn06wadnfrz0eucsqhd,,20472680990.0,,24506572852.0,,44979253842.0
64,cyber1eqkdzfcjnu20ywju35rf3nutxzjxjaqnzc6lnl,,,,,44081312892.0,44081312892.0
