,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,sum
52,cyber1en69twaxmv7xupy8lq7y539dpecx7yz8vh9u7k,,18669971823.0,35149508757.0,24919735783.0,5528676770.0,301861873.0,,,84569755006.0
53,cyber12xsg4qm4k5z48s79zdsz84jlhv56kmta45hjmz,,,74772629353.0,,,,,,74772629353.0
54,cyber1sng0f47cuvx6edxaujh24wc3dvk94q0w7mftv2,,,,,3927733.0,,74217807211.0,,74221734944.0
55,cyber1f7nx65pmayfenpfwzwaamwas4ygmvalqwcexna,,47095487433.0,2952355930.0,20394243142.0,,,,,70442086505.0
56,cyber1my32szlwazg9x56xqvsvtp0hqvpzm0r4cf9w2y,,,70179119586.0,92845309.0,,,,,70271964895.0
57,cyber1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9q0e5p8t,,4338666110.0,50221478847.0,14835497059.0,322859641.0,,,,69718501657.0
58,cyber1daxxqs56f6j5qxxtjrjkexghsmnaj66ta2rv06,,45885621564.0,,23275608448.0,,,,,69161230012.0
59,cyber1g0ap9fvex93yzzj69uzl74942vjvq8e4dl4sn7,,,67992083477.0,,,,,,67992083477.0
60,cyber16zms8r32vad3z8hl2vc6wrcnanwmxf0dv0e0nu,,,67229160818.0,,,,,,67229160818.0
61,cyber152m9xcx0ht7yxr5834ju7qjcyvetw8amfhxxkn,,26069696989.0,,15467407648.0,25296563469.0,,,,66833668106.0
62,cyber18z9vsjffvggluxcxfqwsmrz02v37hx2e490lyh,,,57929970902.0,5741693919.0,,,,,63671664821.0
63,cyber1d3zlsrjyl3tzp3aly7vjduhrtrtvkvkeecjkpp,,,63422106566.0,,,,,,63422106566.0
64,cyber1stfw0z5nf2ncxxtrk7zndpf2dla3nh37ppm40e,,11914393376.0,,11189940762.0,36938756433.0,1635757102.0,,,61678847673.0
65,cyber18jwk949jqgq3j2du2dgscqxqkkqw5rsjdy0r7v,,,61558395847.0,,,,,,61558395847.0
66,cyber13fwhvawke6867s6raqux25fd24t89j5hrk63mj,,,60883067675.0,,,,,,60883067675.0
67,cyber1lpfs6xv765u4yxr8rlyn5ux0g2a8tyt9t0rg2d,,,,,,,59256843788.0,,59256843788.0
68,cyber147rnn0rxqkythj4j9ccq0kytmh7f005rhhw240,,11199572491.0,,13133148758.0,30186983650.0,792143948.0,,,55311848847.0
69,cyber1njsr8tngxtygsc73mrtn5738ztkzqy7c6udvxk,,15230667266.0,,17888573509.0,,,14737589328.0,,47856830103.0
70,cyber1smqr5tp684g07aekcn0w852wqlme5mn6frrgnv,,,,,,,47098839942.0,,47098839942.0
71,cyber1dl5df5g2xwj02e93k547etw2ergvc3a2t58zpl,,,46480474242.0,,,,,,46480474242.0
72,cyber1argjwgcplguenq4l92ggn06wadnfrz0eucsqhd,,20472680990.0,,24506572852.0,,,,,44979253842.0
73,cyber1eqkdzfcjnu20ywju35rf3nutxzjxjaqnzc6lnl,,,,,,,44081312892.0,,44081312892.0
74,cyber1ldjugf3uj2gwkmmsf5japfknf96zv6hw67a9mg,,102675.0,40841467077.0,2388287319.0,,,,,43229857071.0
75,cyber1waac73cpffx7suhpkvnn8w0a8s2cgzn677expq,,,,,,,42415701749.0,,42415701749.0
76,cyber13ume6mqte5h9ngx2hh6ngc8aham7x0k65n0hpx,,,41813199988.0,,,,,,41813199988.0
77,cyber1y9zkl7uqjev899swng4eqfuurwaxpchw9e24n9,,,40330418998.0,,,,,,40330418998.0
78,cyber19ys53t55r725j882gjcrnf7s449gdrds40evtg,,,36908973741.0,,1274549312.0,70470760.0,,,38253993813.0
79,cyber16lf2hvzy4n4gvtx37pgkkdw2e2psfjjd9pp0xu,,,37988147654.0,,,,,,37988147654.0
80,cyber1fapqgamx3c8za8d3z56sydjtjygyu0ly6vefs4,,,,,,,37850807372.0,,37850807372.0
81,cyber1v5jqg6k7mszmchhz8kyfml5h4e2txct9k6zxvg,,,37418729590.0,,,,,,37418729590.0
82,cyber1x7wp0u877dkw7m84jv54c9g6zpd5r8t2hrx9lw,,,,,,33812731064.0,,,33812731064.0
83,cyber1w4548vrnvc7t9j2ly55nvkjvhwqt9thndql8e8,,,,,,,33395512349.0,,33395512349.0
84,cyber133t8m00w7llsslnf05zdhehharntly8dy6jj86,,,,,,,31992273571.0,,31992273571.0
85,cyber1kgq82m6z2jttytv7fvwy2rklhq5k03gcw0ktw0,,,30494554808.0,,,,,,30494554808.0
86,cyber1smtmk8fe3qhlwj3h7nynl6p42946qydzgsp7mq,,,,,,,29390986364.0,,29390986364.0
87,cyber1hvk6s053m6qdlz9kwllgldwf4qp2c3mrm0ktaa,,,29370149824.0,,,,,,29370149824.0
88,cyber1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zhkwdsx,,19689711316.0,,9472498458.0,,,,,29162209774.0
89,cyber152kqs8p7d3jy6kn4uk87ve3alkuqjgew0ftqml,,,24799790071.0,4121615983.0,,,,,28921406054.0
90,cyber1gss7y04dky2fykck4dyp0pe39wxawlxmw8ul9h,,,,,,28704261935.0,,,28704261935.0
91,cyber1ch6nukdgj55c9sk4h5t8spzhahuuvn86vclx5x,,,27485323135.0,,,,,,27485323135.0
92,cyber1rqudjcrdwqedffxufmqgsleuguhm7pkayhwy0y,,,27363284437.0,,,,,,27363284437.0
93,cyber1qgqkc9t3pfsp6yxjwds70e4r9y0p6resl3qlv9,,,26376882296.0,,,,,,26376882296.0
94,cyber12kd8w45rqxuwpwqvpmdyvvdey9ezeqhagdqgsf,,,26208333897.0,,,,,,26208333897.0
95,cyber16yf94eecl6h44l5w7zp75skh3rg0k4vee549dh,15000000000.0,,,,10185396846.0,,,,25185396846.0
96,cyber1dn09uyhwmv3ratntc7c603vczgrec32cw3hyk0,,,24175157388.0,,,,,,24175157388.0
97,cyber1qezgmksavgdvcvf9ckhazfy3jfw8whhzdmlsgl,,,21979059507.0,,,,,,21979059507.0
98,cyber1d552nfgekkugdgxw3zl242qpxapl67jfj6dpuu,,,21555502893.0,,,,,,21555502893.0
99,cyber1cerh237zd5rdexptjw8ryhwdf2tc9eupxxrjyj,,,,,,20918517127.0,,,20918517127.0
100,cyber10vpygn9ftv85ra7j7qpewuq5jdgvpjmen87tc4,,,20335729382.0,,,,,,20335729382.0
101,cyber18t3kx877vyvstcvn50cgn5w6hppe8ce09cd3vh,,,18546327724.0,,,,,,18546327724.0
102,cyber1csf3up94qheqz88fvvlwjl7vc5sdymarjnshkn,,,,,,,18442151620.0,,18442151620.0
103,cyber1kfqv2fzzu6dgwnf6snql2jslwdws07flws32fp,,,17879700159.0,,,,,,17879700159.0
104,cyber1ggayl03vvv763az6eez66jzwuunyqkcu5w5je0,,,17754934798.0,,,,,,17754934798.0
105,cyber1fjeq0urgk4x0s6pl2p2fes8c95426amp68lw63,,,17601345097.0,,,,,,17601345097.0
106,cyber1tr3eyy9l480pxjk0ygudwpfus7j8pgdlktu79x,,,,,,,17537519175.0,,17537519175.0
107,cyber16ahkkv0jzhtp73z83qlhqrypss6jpjm8ap96e3,,,,,,,17375703563.0,,17375703563.0
